# MC Simulations of 2D Ising Model from Random and Ferromagnetic Initial Condition 
# L = 32
# t_0 = 1000 t_meas = 1000 dt = 1 
# beta energy_density abs_magnetization_density specific_heat susceptibility binder_parameter
2.3375000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.35 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.3625000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.3750000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.3875 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.4000000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.4125 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.4250000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.4375000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.45 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.4625000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.475 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.4875000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.5000000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.5125 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.5250000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.5375 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.5500000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.5625000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.575 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.5875000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6000000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6125000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6250000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6375 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6500000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6625000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6750000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.6875000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7125000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7250000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7375000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7500000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7625 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7750000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.7875000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.8000000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.8125000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.825 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.8375000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.8500000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.8625000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.8750000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.8875 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.9000000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.9125000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.9250000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.9375000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.95 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.9625000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.9750000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
2.9875000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.0000000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.0125 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.0250000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.0375000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.0500000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.0625000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.075 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.0875000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1000000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1125000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1250000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1375 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1500000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1625000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1750000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.1875000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2125000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2250000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2375000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2500000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2625 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2750000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.2875000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.3000000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.3125000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.325 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.3375000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.3500000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.3625000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.3750000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.3875 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.4000000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.4125000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.4250000000000003 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.4375000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.45 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.4625000000000004 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
3.4750000000000005 -2.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +6.666667e-01
